"enquadramento";"2019";"2020";"2021";"2022"
"Parar Na Contramao De Direcao";265;151;122;134
"Transitar Em Desacordo C/ Autorizacao Expedida P/Veiculo C/ Dimensoes Excedentes";65;62;46;133
"Forcar Passagem Entre Veic Transit Sent Opost Na Iminencia Realiz Ultrapassagem";126;119;97;121
"Ultrapassar Pela Contramao Nas Faixas De Pedestre";112;151;65;121
"Conduzir Motocicleta/Motoneta/Ciclomotor Transportando Crianca Menor De 7 Anos";56;42;67;105
"Executar Operacao De Retorno Passando Por Cima De Calcada/Passeio";199;83;62;103
"Transitar Com O Veiculo Com Lotacao Excedente";278;187;140;100
"Conduzir Pessoas Nas Partes Externas Do Veiculo";93;56;91;88
"Entrar/Sair Area Lindeira Sem Precaucao Com A Seguranca De Pedestres/ Veiculos";135;138;63;88
"Executar Operacao De Retorno Nos Viadutos";169;58;31;85
"Transpor Bloqueio Viario Policial";142;122;143;84
"Parar Na Pista De Rolamento Das Vias De Transito Rapido";145;139;101;82
"Conduzir Carga Nas Partes Externas Do Veiculo";91;49;46;77
"Transitar C/ Veic E/Ou Carga C/ Dimensoes Superiores Est P/Sinalizacao S/Autoriz";46;33;32;76
"Executar Retorno Nas Intersecoes, Entrando Na Contramao Da Via Transversal";102;84;76;75
"Bloquear A Via Com Veiculo";111;80;129;73
"Usar Veiculo Vaza, Deliberadamente, Restringir A Circulacao Na Via";49;53;44;72
"Transitar Com O Veiculo Em Ilhas, Refugios";271;68;67;71
"Dirigir O Veiculo Utilizando-Se De Fones Nos Ouvidos Conec A Aparelhagem Sonora";696;231;176;68
"Em Movimento De Dia, Deixar De Manter Acesa Luz Baixa Nas Rodovias";NA;6;NA;68
"Estacionar Na Pista De Rolamento Das Vias De Transito Rapido";84;72;48;65
"Deixar De Reduzir A Veloc Onde O Transito Esteja Sendo Controlado Pelo Agente";113;82;52;62
"Parar Em Marcas De Canalizacao";191;81;76;62
"Conduzir Motocicleta/Motoneta/Ciclomotor Transportando Pas. Fora Do Assento";55;57;31;58
"Ultrapassar Pelo Acostamento";115;46;34;52
"Executar Retorno C/Prejuizo Da Circulacao/Seguranca Ainda Que Em Local Permitido";265;45;36;50
"Deixar De Dar Passagem A Veic De Policia Em Servico De Urgencia Devid Identif";98;78;76;49
"Em Movimento De Dia, Deixar De Manter Acesa Luz Baixa Túnel Com Iluminacao Públ";866;525;205;49
"Deixar De Dar Preferencia Nas Intersecoes Com Sinalizacao De De A Preferencia";55;60;35;46
"Deixar De Indicar C/Antec, Med Gesto De Braco/Luz Indicadora, Manobra De Parar";201;116;58;43
"Transitar Na Faixa/Pista Da Esquerda Regul Circulacao Exclusiva Determ Veiculo";100;65;22;41
"Usar Veiculo Para, Deliberadamente, Interromper A Circulacao Na Via";154;66;131;41
"Estacionar Nos Viadutos";93;49;28;39
"Parar Em Desacordo Com As Posicoes Estabelecidas No Ctb";81;37;37;39
"Transitar Com O Veiculo Em Passarelas";38;22;40;39
"Deixar De Dar Passagem A Veic De Operacao E Fiscalizacao De Transito Devid Ident";53;45;30;37
"Deixar De Reduzir A Velocidade Nas Proximidades De Escolas";32;10;13;36
"Executar Operacao De Retorno Passando Por Cima De Ilha/Refugio";91;41;28;35
"Conduzir Motocicleta, Motoneta E Ciclomotor Transportando Carga Incompativel";36;49;12;34
"Ultrapassar Pela Contramao Nas Curvas Sem Visibilidade Suficiente";32;37;25;33
"Transitar C/ Veic Derramando A Carga Que Esteja Transportando";61;35;30;32
"Conduzir Motoc/Moton/Ciclom Transp Crianca S/ Condicao Cuidar Propria Seguranca";21;16;21;30
"Transitar Na Faixa/Pista Da Direita Regul Circulacao Exclusiva Determ Veiculo";191;29;95;30
"Deixar De Dar Preferencia Em Intersecao N Sinaliz, Veic Circulando Por Rotatoria";28;17;17;28
"Executar Operacao De Retorno Nas Pontes";13;20;14;28
"Ultrapassar Pela Contramao Veiculo Parado Em Fila Junto A Cruzamento";64;27;26;26
"Deixar De Dar Passagem Pela Esquerda Quando Solicitado";27;28;17;25
"Participar Como Condutor Exib/Demonst Pericia Em Manobra De Veic, S/Permissao";38;34;37;25
"Deixar De Reduzir Veloc Na Proxim Estacao Emb/Desemb Passageiros";15;12;13;24
"Disputar Corrida Por Espirito De Emulacao";39;32;35;22
"Deixar De Reduzir Veloc Onde Haja Intensa Movimentacao De Pedestres";38;30;24;21
"Parar Na Pista De Rolamento Das Demais Vias Dotadas Acostamento";17;13;36;21
"Usar Veiculo Para Arremessar Sobre Os Pedestres Agua Ou Detritos";72;48;14;21
"Deixar De Dar Preferencia A Pedestre/Veic N Mot Qdo Iniciada Travessia S/Sinaliz";67;30;23;20
"Abandonar Na Via Objetos Ou Substancias";25;32;38;19
"Executar Operacao De Retorno Passando Por Cima De Faixa De Veic Nao Motorizados";31;11;9;19
"Transitar Com O Veiculo Em Ajardinamentos, Gramados, Jardins Publicos";17;20;18;19
"Transitar C/ Veic Lancando A Carga Que Esteja Transportando";48;23;18;17
"Deixar De Reduzir Velocidade Do Veiculo Ao Aproximar-Se Intersecao N Sinalizada";18;21;18;14
"Ultrapassar Veiculos Motorizados Em Fila, Parados Em Razao De Sinal Luminoso";50;31;18;13
"Executar Operacao De Retorno Nos Aclives Ou Declives";14;7;15;12
"Transitar Ao Lado De Outro Veiculo, Interrompendo Ou Perturbando O Transito";35;38;25;12
"Deixar De Sinalizar Via P/Tornar Visivel Local Qdo Tiver Remover Veic Da Pista";8;7;9;11
"Estacionar Nos Acostamentos";67;9;1;11
"Parar Nas Pontes";13;31;11;10
"Ultrapassar Pela Contramao Nos Aclives Ou Declives Sem Visibilidade Suficiente";26;22;11;10
"Ultrapassar Pela Contramao Veic Parado Em Fila Junto Qq Impedimento A Circulacao";9;9;11;10
"Usar Buzina Em Locais E Horarios Proibidos Pela Sinalizacao";12;5;13;10
"Usar Buzina Entre As Vinte E Duas E As Seis Horas";16;9;11;10
"Deixar De Dar Passagem A Ambulancia Em Servico De Urgencia Devid Identificada";10;8;7;9
"Participar Na Via Como Condutor Em Evento Organizado, Sem Permissao";29;14;8;9
"Conduzir Motoc/Moton Transportando Carga Em Desacordo C/§2° Do Art.139-A Do Ctb";5;2;2;8
"Executar Operacao De Retorno Nas Curvas";15;5;4;8
"Transitar Com Autorizacao Vencida, Expedida P/ Veiculo C/ Dimensoes Excedentes";4;25;8;8
"Conduzir Motocicleta, Moton E Ciclomotor C/ Capacete Desac Normas Espec Contran";1;2;1;7
"Deixar O Condutor Envolvido Em Acidente S/ Vitima, De Remover O Veiculo Do Local";6;6;9;7
"Estacionar Na Pista De Rolamento Das Vias Dotadas De Acostamento";5;3;2;7
"Seguir Veiculo Em Serv Urgencia Devid Identific P/Alarme Sonoro/Ilum Vermelha";8;4;8;7
"Ultrapassar Em Intersecoes";5;6;9;7
"Deixar De Dar Preferencia A Pedestre Port Deficiencia Fis/Crianca/Idoso/Gestante";20;9;18;6
"Deixar De Reduzir A Veloc Qdo Se Aproximar De Passeatas/Aglomeracao/Desfile/Etc";6;5;2;6
